loop_run1_single_reading.thisRepN,loop_run1_single_reading.thisTrialN,loop_run1_single_reading.thisN,loop_run1_single_reading.thisIndex,loop_run2_single_nback.thisRepN,loop_run2_single_nback.thisTrialN,loop_run2_single_nback.thisN,loop_run2_single_nback.thisIndex,loop_dual_task_blocks.thisRepN,loop_dual_task_blocks.thisTrialN,loop_dual_task_blocks.thisN,loop_dual_task_blocks.thisIndex,TriggerCount,TriggerTime,colour,global_onset_time,onset_time_rel2trigger,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr_exp,run_nr,block_nr_run,block_name,n-back_level,word,question,button_pressed,chosen_ans,ans_correct,participant,session,testing_mode,RT_per_rectangle_oneback_single,RT_per_rectangle_twoback_single,RT_per_letter_baseline,RT_per_letter_oneback_dual,RT_per_letter_twoback_dual,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,1,912.5126168727875,#F989A2,923.3656978607178,10.853080987930298,None,None,None,499.4564525206463,text_02,1,1,1,1,Reading_Baseline_main_no_click,None,Zwanzig,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#D292F3,923.8713088035583,11.358691930770874,None,None,None,471.1927846444644,text_02,2,1,1,1,Reading_Baseline_main_no_click,None,Jahre,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#D292F3,924.3514478206635,11.838830947875977,None,None,None,529.4171478114998,text_02,3,1,1,1,Reading_Baseline_main_no_click,None,verbrachte,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#88BA3F,924.8844738006592,12.371856927871704,None,None,None,486.5077954151566,text_02,4,1,1,1,Reading_Baseline_main_no_click,None,Ernest,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#2AB7EF,925.3773229122162,12.864706039428711,None,None,None,520.5668644962425,text_02,5,1,1,1,Reading_Baseline_main_no_click,None,Hemingway,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#F989A2,925.9101369380951,13.397520065307617,None,None,None,428.28343224812124,text_02,6,1,1,1,Reading_Baseline_main_no_click,None,auf,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#D292F3,926.3500549793243,13.837438106536865,None,None,None,471.1927846444644,text_02,7,1,1,1,Reading_Baseline_main_no_click,None,Kuba.,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#2AB7EF,926.8296909332275,14.317074060440063,None,None,None,428.28343224812124,text_02,8,1,1,1,Reading_Baseline_main_no_click,None,Die,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#F989A2,927.2694618701935,14.756844997406006,None,None,None,486.5077954151566,text_02,9,1,1,1,Reading_Baseline_main_no_click,None,meiste,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
0,0,0,0,,,,,,,,,,,#F989A2,927.7623679637909,15.249751091003418,None,None,None,452.4487263340708,text_02,10,1,1,1,Reading_Baseline_main_no_click,None,Zeit,,,,,YA01,001,no,577,843,84,125,166,2024-08-26_12h38.24.015,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.90805051372769,
