loop_run1_single_reading.thisRepN;loop_run1_single_reading.thisTrialN;loop_run1_single_reading.thisN;loop_run1_single_reading.thisIndex;loop_run2_single_nback.thisRepN;loop_run2_single_nback.thisTrialN;loop_run2_single_nback.thisN;loop_run2_single_nback.thisIndex;loop_dual_task_blocks.thisRepN;loop_dual_task_blocks.thisTrialN;loop_dual_task_blocks.thisN;loop_dual_task_blocks.thisIndex;TriggerCount;TriggerTime;colour;global_onset_time;onset_time_rel2trigger;target;nback_response;nback_RT;duration;text_nr;trial_nr;block_nr_exp;run_nr;block_nr_run;block_name;n-back_level;word;question;button_pressed;chosen_ans;ans_correct;participant;session;testing_mode;RT_per_rectangle_oneback_single;RT_per_rectangle_twoback_single;RT_per_letter_baseline;RT_per_letter_oneback_dual;RT_per_letter_twoback_dual;date;expName;psychopyVersion;frameRate
0;0;0;0;;;;;;;;;1;545.0308571;#D292F3;555.9371631;10.90630603;None;None;None;333.9502504;text_01;1;1;1;1;Reading_Baseline_main_no_click;None;Beim;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#F989A2;556.28178;11.25092292;None;None;None;368.6464292;text_01;2;1;1;1;Reading_Baseline_main_no_click;None;Anblick;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#D292F3;556.6543131;11.623456;None;None;None;316.1139619;text_01;3;1;1;1;Reading_Baseline_main_no_click;None;der;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#88BA3F;556.973968;11.94311094;None;None;None;347.7851506;text_01;4;1;1;1;Reading_Baseline_main_no_click;None;Tiere;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#88BA3F;557.3338971;12.30304003;None;None;None;333.9502504;text_01;5;1;1;1;Reading_Baseline_main_no_click;None;wird;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#D292F3;557.6803401;12.64948297;None;None;None;347.7851506;text_01;6;1;1;1;Reading_Baseline_main_no_click;None;klar,;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#2AB7EF;558.040309;13.00945187;None;None;None;347.7851506;text_01;7;1;1;1;Reading_Baseline_main_no_click;None;warum;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#D292F3;558.399404;13.36854696;None;None;None;316.1139619;text_01;8;1;1;1;Reading_Baseline_main_no_click;None;die;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#F989A2;558.7201009;13.68924379;None;None;None;376.9253756;text_01;9;1;1;1;Reading_Baseline_main_no_click;None;Seeleute;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
0;0;0;0;;;;;;;;;;;#2AB7EF;559.1068299;14.0759728;None;None;None;396.6695069;text_01;10;1;1;1;Reading_Baseline_main_no_click;None;vergangener;;;;;MA01;1;no;670;1992;62;138;276;2024-08-22_08h56.49.616;EXNAT_3_fMRI_Psychopy2023.1.3;03.01.23;75.02153538
