loop_run1_single_reading.thisRepN,loop_run1_single_reading.thisTrialN,loop_run1_single_reading.thisN,loop_run1_single_reading.thisIndex,loop_run2_single_nback.thisRepN,loop_run2_single_nback.thisTrialN,loop_run2_single_nback.thisN,loop_run2_single_nback.thisIndex,loop_dual_task_blocks.thisRepN,loop_dual_task_blocks.thisTrialN,loop_dual_task_blocks.thisN,loop_dual_task_blocks.thisIndex,TriggerCount,TriggerTime,colour,global_onset_time,onset_time_rel2trigger,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr_exp,run_nr,block_nr_run,block_name,n-back_level,word,question,button_pressed,chosen_ans,ans_correct,participant,session,testing_mode,RT_per_rectangle_oneback_single,RT_per_rectangle_twoback_single,RT_per_letter_baseline,RT_per_letter_oneback_dual,RT_per_letter_twoback_dual,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,,,,,1,694.1995179653168,#88BA3F,705.0416820049286,10.842164039611816,None,None,None,581.2418009081646,text_05,1,1,1,1,Reading_Baseline_main_no_click,None,Die,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#2AB7EF,705.6373701095581,11.437852144241333,None,None,None,748.4042267506152,text_05,2,1,1,1,Reading_Baseline_main_no_click,None,Korallenriffe,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#D292F3,706.3956871032715,12.196169137954712,None,None,None,581.2418009081646,text_05,3,1,1,1,Reading_Baseline_main_no_click,None,und,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#88BA3F,706.981495141983,12.78197717666626,None,None,None,581.2418009081646,text_05,4,1,1,1,Reading_Baseline_main_no_click,None,die,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#D292F3,707.5688269138336,13.369308948516846,None,None,None,693.0563357515013,text_05,5,1,1,1,Reading_Baseline_main_no_click,None,sandigen,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#2AB7EF,708.2757060527802,14.076188087463379,None,None,None,677.8337569923057,text_05,6,1,1,1,Reading_Baseline_main_no_click,None,Buchten,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#F989A2,708.967698097229,14.768180131912231,None,None,None,614.0375571676675,text_05,7,1,1,1,Reading_Baseline_main_no_click,None,sind,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#88BA3F,709.5946750640869,15.395157098770142,None,None,None,677.8337569923057,text_05,8,1,1,1,Reading_Baseline_main_no_click,None,perfekt,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#2AB7EF,710.2874069213867,16.087888956069946,None,None,None,581.2418009081646,text_05,9,1,1,1,Reading_Baseline_main_no_click,None,für,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#D292F3,710.8738250732422,16.674307107925415,None,None,None,614.0375571676675,text_05,10,1,1,1,Reading_Baseline_main_no_click,None,jede,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#F989A2,711.5009341239929,17.301416158676147,None,None,None,778.9863212224086,text_05,11,1,1,1,Reading_Baseline_main_no_click,None,Urlaubsbroschüre.,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#D292F3,712.2869279384613,18.08740997314453,None,None,None,706.483601816329,text_05,12,1,1,1,Reading_Baseline_main_no_click,None,Insgesamt,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#F989A2,713.0058529376984,18.806334972381592,None,None,None,581.2418009081646,text_05,13,1,1,1,Reading_Baseline_main_no_click,None,ist,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#88BA3F,713.5923209190369,19.392802953720093,None,None,None,581.2418009081646,text_05,14,1,1,1,Reading_Baseline_main_no_click,None,die,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#F989A2,714.1792891025543,19.97977113723755,None,None,None,729.3600610990143,text_05,15,1,1,1,Reading_Baseline_main_no_click,None,Inselgruppe,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
0,0,0,0,,,,,,,,,,,#2AB7EF,714.9120290279388,20.71251106262207,None,None,None,660.2605794919982,text_05,16,1,1,1,Reading_Baseline_main_no_click,None,namens,,,,,OA04,001,no,698,1590,114,142,430,2024-08-28_08h57.55.309,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,74.94780479959974,
