loop_run1_single_reading.thisRepN,loop_run1_single_reading.thisTrialN,loop_run1_single_reading.thisN,loop_run1_single_reading.thisIndex,TriggerCount,TriggerTime,colour,global_onset_time,onset_time_rel2trigger,target,nback_response,nback_RT,duration,text_nr,trial_nr,block_nr_exp,run_nr,block_nr_run,block_name,n-back_level,word,question,button_pressed,chosen_ans,ans_correct,participant,session,testing_mode,RT_per_rectangle_oneback_single,RT_per_rectangle_twoback_single,RT_per_letter_baseline,RT_per_letter_oneback_dual,RT_per_letter_twoback_dual,date,expName,psychopyVersion,frameRate,
0,0,0,0,1,945.1952879428864,#D292F3,956.0472679138184,10.851979970932007,None,None,None,994.2293962902814,text_07,1,1,1,1,Reading_Baseline_main_no_click,None,Wer,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,957.0471949577332,11.851907014846802,None,None,None,1129.3930964994706,text_07,2,1,1,1,Reading_Baseline_main_no_click,None,Angkor,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,958.1798348426819,12.984546899795532,None,None,None,1093.8403929246497,text_07,3,1,1,1,Reading_Baseline_main_no_click,None,"sagt,",,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,959.285817861557,14.090529918670654,None,None,None,1093.8403929246497,text_07,4,1,1,1,Reading_Baseline_main_no_click,None,meint,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,960.3913760185242,15.196088075637817,None,None,None,975.0,text_07,5,1,1,1,Reading_Baseline_main_no_click,None,in,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,961.3779890537262,16.182701110839844,None,None,None,994.2293962902814,text_07,6,1,1,1,Reading_Baseline_main_no_click,None,der,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,962.3783359527588,17.183048009872437,None,None,None,1093.8403929246497,text_07,7,1,1,1,Reading_Baseline_main_no_click,None,Regel,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,963.483726978302,18.28843903541565,None,None,None,1129.3930964994706,text_07,8,1,1,1,Reading_Baseline_main_no_click,None,Angkor,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,964.6168949604034,19.42160701751709,None,None,None,1050.3274004183786,text_07,9,1,1,1,Reading_Baseline_main_no_click,None,Wat.,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,965.6697590351105,20.47447109222412,None,None,None,994.2293962902814,text_07,10,1,1,1,Reading_Baseline_main_no_click,None,Die,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,966.6700839996338,21.474796056747437,None,None,None,1185.491100627568,text_07,11,1,1,1,Reading_Baseline_main_no_click,None,berühmte,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,967.8695559501648,22.674268007278442,None,None,None,1264.55679670866,text_07,12,1,1,1,Reading_Baseline_main_no_click,None,Tempelanlage,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,969.1489150524139,23.953627109527588,None,None,None,1093.8403929246497,text_07,13,1,1,1,Reading_Baseline_main_no_click,None,wurde,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,970.2553510665894,25.060063123703003,None,None,None,1229.004093133839,text_07,14,1,1,1,Reading_Baseline_main_no_click,None,vermutlich,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,971.4943609237671,26.299072980880737,None,None,None,994.2293962902814,text_07,15,1,1,1,Reading_Baseline_main_no_click,None,vor,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,972.4938788414001,27.298590898513794,None,None,None,1093.8403929246497,text_07,16,1,1,1,Reading_Baseline_main_no_click,None,knapp,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,973.6007750034332,28.405487060546875,None,None,None,994.2293962902814,text_07,17,1,1,1,Reading_Baseline_main_no_click,None,900,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,974.6004848480225,29.40519690513611,None,None,None,1129.3930964994706,text_07,18,1,1,1,Reading_Baseline_main_no_click,None,Jahren,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,975.7325119972229,30.537224054336548,None,None,None,975.0,text_07,19,1,1,1,Reading_Baseline_main_no_click,None,in,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,976.7188808917999,31.523592948913574,None,None,None,994.2293962902814,text_07,20,1,1,1,Reading_Baseline_main_no_click,None,den,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,977.7187569141388,32.52346897125244,None,None,None,1208.4587925805629,text_07,21,1,1,1,Reading_Baseline_main_no_click,None,Dschungel,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,978.9321398735046,33.736851930618286,None,None,None,1247.5895781956824,text_07,22,1,1,1,Reading_Baseline_main_no_click,None,Kambodschas,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,980.1848299503326,34.98954200744629,None,None,None,1159.452479065786,text_07,23,1,1,1,Reading_Baseline_main_no_click,None,gebaut.,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,981.3577110767365,36.1624231338501,None,None,None,1050.3274004183786,text_07,24,1,1,1,Reading_Baseline_main_no_click,None,Seit,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,982.4102468490601,37.214958906173706,None,None,None,1050.3274004183786,text_07,25,1,1,1,Reading_Baseline_main_no_click,None,mehr,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,983.463604927063,38.268316984176636,None,None,None,994.2293962902814,text_07,26,1,1,1,Reading_Baseline_main_no_click,None,als,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,984.4633619785309,39.26807403564453,None,None,None,1159.452479065786,text_07,27,1,1,1,Reading_Baseline_main_no_click,None,hundert,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,985.6362428665161,40.44095492362976,None,None,None,1129.3930964994706,text_07,28,1,1,1,Reading_Baseline_main_no_click,None,Jahren,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,986.7689869403839,41.57369899749756,None,None,None,994.2293962902814,text_07,29,1,1,1,Reading_Baseline_main_no_click,None,hat,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,987.7686738967896,42.5733859539032,None,None,None,1050.3274004183786,text_07,30,1,1,1,Reading_Baseline_main_no_click,None,sich,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#F989A2,988.8215448856354,43.62625694274902,None,None,None,994.2293962902814,text_07,31,1,1,1,Reading_Baseline_main_no_click,None,die,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,989.8217718601227,44.62648391723633,None,None,None,1264.55679670866,text_07,32,1,1,1,Reading_Baseline_main_no_click,None,Wissenschaft,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,991.1004869937897,45.90519905090332,None,None,None,994.2293962902814,text_07,33,1,1,1,Reading_Baseline_main_no_click,None,auf,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,992.1001470088959,46.90485906600952,None,None,None,994.2293962902814,text_07,34,1,1,1,Reading_Baseline_main_no_click,None,die,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,993.10027384758,47.9049859046936,None,None,None,1185.491100627568,text_07,35,1,1,1,Reading_Baseline_main_no_click,None,riesigen,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,994.2997488975525,49.10446095466614,None,None,None,1280.1651247049997,text_07,36,1,1,1,Reading_Baseline_main_no_click,None,Tempelanlagen,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#D292F3,995.5926380157471,50.39735007286072,None,None,None,994.2293962902814,text_07,37,1,1,1,Reading_Baseline_main_no_click,None,und,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#88BA3F,996.5924339294434,51.39714598655701,None,None,None,1050.3274004183786,text_07,38,1,1,1,Reading_Baseline_main_no_click,None,ihre,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
0,0,0,0,,,#2AB7EF,997.646213054657,52.45092511177063,None,None,None,1247.5895781956824,text_07,39,1,1,1,Reading_Baseline_main_no_click,None,Inschriften,,,,,OA01,001,no,1500,2000,195,250,500,2024-08-22_11h39.36.650,EXNAT_3_fMRI_Psychopy2023.1.3,2023.1.3,75.03052701815521,
